Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP,Lev,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Michael Brady,30,Oakland,FC,447,87.77528089887646,0.053691275167785234,16,0,,,31.2,MLB-AL,0.1146067415730337,0.060674157303370786,,0.47191011235955055,0.3056179775280899,,,0.04719101123595506,,,,,,
Steven Brault,25,Pittsburgh,FF,640,89.49937402190919,0.0359375,11,4,1.0,,34.2,MLB-NL,0.12363067292644757,0.018779342723004695,,,0.5805946791862285,,,0.14241001564945227,,,,,,0.13458528951486698
John Brebbia,27,St. Louis,FF,783,89.2976501305483,0.06513409961685823,50,0,,,51.2,MLB-NL,0.02349869451697128,0.0026109660574412533,,,0.49738903394255873,,,0.06919060052219321,,,0.0013054830287206266,,,0.40600522193211486
Craig Breslow,36,"Minnesota,Cleveland",FT,593,85.32647554806074,0.0387858347386172,37,0,1.0,1.0,35.1,MLB-AL,0.18381112984822934,0.19224283305227655,,,0.03709949409780776,,,0.5868465430016864,,,,,,
Austin Brice,25,Cincinnati,SI,497,90.03777777777783,0.052313883299798795,22,0,,,32.2,MLB-NL,0.010101010101010102,0.13333333333333333,,,0.2,,,,,,,,0.42424242424242425,0.23232323232323232
Parker Bridwell,25,Los Angeles,FF,1759,88.35494880546064,0.041500852757248435,21,20,10.0,3.0,121.0,MLB-AL,0.09954493742889647,0.20591581342434584,,0.1751990898748578,0.3424345847554039,,,0.17690557451649602,,,,,,
Zach Britton,29,Baltimore,SI,587,95.35307167235496,0.049403747870528106,38,0,2.0,1.0,37.1,MLB-AL,,,,,0.07167235494880546,,,,,,,,0.8754266211604096,0.052901023890784986
Rex Brothers,29,Atlanta,FF,379,93.05989445910289,0.0870712401055409,27,0,4.0,3.0,23.2,MLB-NL,0.005277044854881266,,,,0.6543535620052771,,,,,,,,,0.3403693931398417
Jonathan Broxton,33,St. Louis,FF,296,91.95631399317412,0.05405405405405406,20,0,,1.0,15.2,MLB-NL,,,,,0.527027027027027,,,0.11824324324324324,,,0.0033783783783783786,,,0.35135135135135137
Jake Buchanan,27,Cincinnati,FF,226,85.49026548672569,0.017699115044247787,5,0,,,14.1,MLB-NL,0.09734513274336283,0.11504424778761062,,,0.42035398230088494,,,,,,,,0.09734513274336283,0.26991150442477874
Ryan Buchter,30,"San Diego,Kansas City",FF,1098,91.03561020036425,0.05919854280510018,71,0,4.0,3.0,65.1,"MLB-NL,MLB-AL",,0.07930720145852324,,0.105742935278031,0.8149498632634458,,,,,,,,,
Madison Bumgarner,27,San Francisco,FC,1666,87.02786489746677,0.06062424969987995,17,17,4.0,9.0,111.0,MLB-NL,0.05491852745926373,0.1550995775497888,,0.36089318044659024,0.1291490645745323,,,0.299939649969825,,,,,,
Aaron Bummer,23,Chicago,SI,374,89.43903743315505,0.045454545454545456,30,0,1.0,3.0,22.0,MLB-AL,0.01871657754010695,,,,0.16310160427807488,,,,,,,,0.44919786096256686,0.3689839572192513
Dylan Bundy,24,Baltimore,FF,2819,87.09470880681808,0.053919829726853497,28,28,13.0,9.0,169.2,MLB-AL,0.13489527866524673,0.10294639687610933,,,0.44053958111466096,,,0.09655662051828186,,,,,,0.2250621228257011
Alan Busenitz,26,Minnesota,FF,509,92.00589390962675,0.04518664047151277,28,0,1.0,1.0,31.2,MLB-AL,0.005893909626719057,0.29273084479371314,,,0.6286836935166994,,,0.07269155206286837,,,,,,
Matt Bush,31,Texas,FF,944,93.797775423729,0.0614406779661017,57,0,3.0,4.0,52.1,MLB-AL,0.001059322033898305,0.13771186440677965,,0.12182203389830508,0.451271186440678,,,0.24046610169491525,,,,,,0.04766949152542373
Eddie Butler,26,Chicago,FF,918,90.71214442013138,0.032679738562091505,13,11,4.0,3.0,54.2,MLB-NL,0.09190371991247265,0.15426695842450766,,0.04814004376367615,0.42560175054704596,,,0.2800875273522976,,,,,,
Trevor Cahill,29,"San Diego,Kansas City",SI,1523,86.3001314924391,0.05712409717662508,21,14,4.0,3.0,84.0,"MLB-NL,MLB-AL",0.2123602892833662,,,0.10387902695595003,0.021696252465483234,,,,0.21893491124260356,,,,0.443129520052597,
Matt Cain,32,San Francisco,FF,2083,84.48705939159828,0.03600576092174748,27,23,3.0,11.0,124.1,MLB-NL,0.10907335907335908,0.23021235521235522,,,0.3532818532818533,,,0.20028957528957528,,,0.0009652509652509653,,,0.10617760617760617
Leonel Campos,29,Toronto,FF,226,88.96769911504425,0.06637168141592921,13,0,,,13.2,MLB-AL,0.035398230088495575,,,,0.47345132743362833,,,0.022123893805309734,,,,,,0.4690265486725664
Carter Capps,26,San Diego,FF,192,87.75235602094241,0.036458333333333336,11,0,,,12.1,MLB-NL,0.010471204188481676,,,,0.6178010471204188,,,,0.3717277486910995,,,,,
Carlos Carrasco,30,Cleveland,FF,3143,89.80284708893164,0.07413299395482023,32,32,18.0,6.0,200.0,MLB-AL,0.16352,0.18144,,,0.39296,,,0.096,,,,,,0.16608
Andrew Cashner,30,Texas,FT,2636,90.56856708475863,0.032625189681335355,28,28,11.0,11.0,166.2,MLB-AL,0.13492968453059673,0.08285822881033827,,,0.12846826301786393,,,0.540478905359179,,,,,,0.11326491828202205
Santiago Casilla,36,Oakland,FT,1025,90.24037328094317,0.055609756097560976,63,0,4.0,5.0,59.0,MLB-AL,0.04808635917566242,,,,0.21197252208047104,,,0.4102060843964671,0.21491658488714427,,,,,0.11481844946025516
Luis Castillo,24,Cincinnati,FF,1484,93.14919137466298,0.0660377358490566,15,15,3.0,7.0,89.1,MLB-NL,0.22439353099730458,,,,0.465633423180593,,,0.15700808625336926,,,0.0006738544474393531,,,0.1522911051212938
Miguel Castro,22,Baltimore,SI,1033,91.43495145631073,0.036786060019361085,39,1,3.0,3.0,66.1,MLB-AL,0.10485436893203884,,,,0.018446601941747572,,,,,,,,0.6,0.2766990291262136
Simon Castro,29,Oakland,FF,595,91.19495798319332,0.058823529411764705,26,0,1.0,3.0,37.0,MLB-AL,,,,,0.7294117647058823,,,0.010084033613445379,,,,,,0.2605042016806723
Brett Cecil,30,St. Louis,FF,990,87.6313846153845,0.06666666666666667,73,0,2.0,4.0,67.1,MLB-NL,0.13128205128205128,,,0.1682051282051282,0.30974358974358973,,,,0.29128205128205126,,,,0.09948717948717949,
Luis Cessa,25,New York,FF,624,89.47644230769227,0.04807692307692308,10,5,,3.0,36.0,MLB-AL,0.19230769230769232,0.08814102564102565,,,0.4182692307692308,,,0.0016025641025641025,,,,,,0.29967948717948717
Jhoulys Chacin,29,San Diego,FT,2937,86.13611397185039,0.05209397344228805,32,32,13.0,10.0,180.1,MLB-NL,0.06041881222107793,0.040508067284586335,,,0.16306213525575008,,,0.3827669069687607,,,,,,0.3532440782698249
Andrew Chafin,27,Arizona,SI,895,89.14205816554814,0.06815642458100558,71,0,1.0,,51.1,MLB-NL,0.0044742729306487695,0.0011185682326621924,,,0.19798657718120805,,,,,,,,0.40604026845637586,0.39038031319910516
Aroldis Chapman,29,New York,FF,1008,97.2088645418327,0.08432539682539683,52,0,4.0,3.0,50.1,MLB-AL,0.034722222222222224,,,,0.7668650793650794,,,,,,,,0.000992063492063492,0.1974206349206349
Tyler Chatwood,27,Colorado,FF,2461,91.48517915309463,0.048760666395774074,33,25,8.0,15.0,147.2,MLB-NL,0.0422936152907686,0.11061407076047174,,0.21268808458723057,0.34485563237088246,,,0.2895485969906466,,,,,,
Jesse Chavez,33,Los Angeles,FF,2312,88.04549783549766,0.051470588235294115,38,21,7.0,11.0,138.0,MLB-AL,0.14415584415584415,0.08051948051948052,,0.05714285714285714,0.4108225108225108,,,0.14545454545454545,,,0.0017316017316017316,,,0.16017316017316016
Wei-Yin Chen,31,Miami,FF,493,86.91744421906695,0.05070993914807302,9,5,2.0,1.0,33.0,MLB-NL,0.13184584178498987,0.12981744421906694,,,0.5415821501014199,,,0.1075050709939148,,,0.002028397565922921,,,0.0872210953346856
Tony Cingrani,27,"Cincinnati,Los Angeles",FF,791,92.74544303797465,0.0695322376738306,47,0,,,42.2,MLB-NL,0.05949367088607595,,,,0.8139240506329114,,,,,,,,,0.12658227848101267
Steve Cishek,31,"Seattle,Tampa Bay",SL,729,83.88971193415635,0.056241426611796985,49,0,3.0,2.0,44.2,MLB-AL,0.013717421124828532,,,,0.02194787379972565,,,,,,,,0.4773662551440329,0.4869684499314129
Alex Claudio,25,Texas,SI,1132,80.74033687943263,0.04946996466431095,70,1,4.0,2.0,82.2,MLB-AL,0.300531914893617,,,,0.0017730496453900709,,,,,,,,0.5647163120567376,0.13297872340425532
