Name,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Josh Collmenter,0.339869281,0.117647059,0,0.522875817,0.019607843,0,0,0,0,0,0,0,0,0
Alex Colome,0.046231156,0,0,0.629145729,0.324623116,0,0,0,0,0,0,0,0,0
Bartolo Colon,0.097721297,0,0,0.003067485,0.197195443,0,0,0.629272568,0,0,0,0,0,0.072743208
Adam Conley,0.185938408,0,0,0,0.639163277,0,0,0,0,0,0,0,0,0.174898315
Patrick Corbin,0.091793707,0,0,0,0.272786247,0,0,0.259163153,0,0,0,0,0,0.376256893
Jarred Cosart,0.084536082,0,0,0.004123711,0.107216495,0,0,0,0.129896907,0,0,0,0.571134021,0.103092784
Jharel Cotton,0.215903837,0.085991678,0,0,0.337956542,0,0,0.134535368,0,0,0,0,0,0.225612575
Danny Coulombe,0.003314917,0.374585635,0,0,0.159116022,0,0,0,0,0,0,0,0.135911602,0.327071823
Dylan Covey,0.109577222,0.115616911,0,0.0405522,0.293356342,0,0,0.277825712,0,0,0,0,0,0.163071613
Stefan Crichton,0,0,0,0,0.06504065,0,0,0,0,0,0,0,0.605691057,0.329268293
Kyle Crick,0.052892562,0,0,0.309090909,0.4,0,0,0.034710744,0,0,0,0,0,0.203305785
Johnny Cueto,0.203564356,0.001188119,0,0.062178218,0.317623762,0,0,0.185742574,0,0,0,0,0,0.22970297
Yu Darvish,0.025851582,0.055656934,0.001520681,0.15176399,0.342761557,0,0,0.167274939,0,0,0,0,0,0.255170316
Zach Davies,0.139746506,0.154371141,0,0.127396815,0,0,0,0.578485538,0,0,0,0,0,0
Rookie Davis,0.065259117,0.02303263,0,0.174664107,0.468330134,0,0,0.165067179,0,0,0,0,0,0.103646833
Wade Davis,0,0,0,0.300675676,0.445101351,0,0,0.043074324,0.211148649,0,0,0,0,0
Grant Dayton,0,0.160098522,0,0,0.81773399,0,0,0.022167488,0,0,0,0,0,0
Chase De Jong,0.128820961,0.148471616,0,0,0.410480349,0,0,0.179039301,0,0,0,0,0,0.133187773
Jorge De La Rosa,0,0.053691275,0,0.124161074,0.475391499,0,0.342281879,0.004474273,0,0,0,0,0,0
Jacob deGrom,0.124604681,0.100253004,0,0,0.395635674,0,0,0.157811512,0,0,0,0,0,0.22169513
Randall Delgado,0.266666667,0.02,0,0,0.438095238,0,0,0.122857143,0,0,0,0,0,0.152380952
Matt Dermody,0.008797654,0.005865103,0,0,0.17888563,0,0,0.387096774,0,0,0,0,0,0.419354839
Odrisamer Despaigne,0.124223602,0.032091097,0,0.310559006,0.339544513,0,0,0,0,0,0,0,0.193581781,0
Chris Devenski,0.383144476,0,0,0,0.406515581,0,0,0,0,0,0,0,0,0.210339943
Dayan Diaz,0.161048689,0,0,0,0.558052434,0,0,0.041198502,0,0,0,0,0,0.239700375
Edwin Diaz,0,0,0,0,0.685004437,0,0,0,0,0,0.000887311,0,0,0.314108252
Jumbo Diaz,0,0,0,0,0.382189239,0,0,0.089053803,0,0,0,0,0,0.528756957
Miguel Diaz,0.147477361,0,0,0,0.196636481,0,0,0.455368693,0,0,0,0,0,0.200517464
R.A. Dickey,0,0,0.01773913,0,0.16973913,0,0,0,0,0.812173913,0.000347826,0,0,0
Jake Diekman,0,0,0,0,0,0,0,0,0,0,0,0,0.680851064,0.319148936
Sean Doolittle,0,0.002430134,0,0,0.878493317,0,0.071688943,0,0,0,0,0,0,0.047387606
Oliver Drake,0,0,0,0,0.514312977,0,0.485687023,0,0,0,0,0,0,0
Brian Duensing,0.138086643,0.134476534,0,0,0.294223827,0,0,0,0,0,0.000902527,0,0.193140794,0.239169675
Tyler Duffey,0.054222222,0,0,0,0.234666667,0,0,0.36,0.351111111,0,0,0,0,0
Danny Duffy,0.228671944,0.006596306,0,0,0.247581354,0,0,0.226033421,0,0,0,0,0,0.291116974
Zach Duke,0.047101449,0.192028986,0,0,0.036231884,0,0,0,0,0,0,0,0.528985507,0.195652174
Ryan Dull,0.099726776,0,0,0,0.493169399,0,0,0,0,0,0,0,0,0.407103825
Mike Dunn,0,0.066059226,0,0,0.511389522,0,0,0.006833713,0,0,0,0,0,0.41571754
Sam Dyson,0.147788565,0.028047465,0,0,0.165048544,0,0,0.478964401,0,0,0,0,0,0.180151025
Josh Edgin,0.029363785,0.195758564,0,0,0.450244698,0,0,0.009787928,0,0,0,0,0,0.314845024
Carl Edwards Jr.,0,0.298785425,0,0,0.700404858,0,0,0.000809717,0,0,0,0,0,0
Zach Eflin,0.07480315,0.11515748,0,0,0.30511811,0,0,0.376968504,0,0,0,0,0,0.127952756
Jerad Eickhoff,0.005161896,0.327545753,0,0,0.372595026,0,0,0.122008447,0,0,0,0,0,0.172688878
Brian Ellington,0.090322581,0.152688172,0,0,0.63655914,0,0,0.119354839,0,0,0.001075269,0,0,0
Paolo Espino,0.07852194,0.228637413,0,0,0.364896074,0,0,0.19630485,0,0,0,0,0,0.131639723
Carlos Estevez,0.080617496,0,0,0,0.696397942,0,0,0.04974271,0,0,0,0,0,0.173241852
Marco Estrada,0.318545903,0.07732594,0,0.06900801,0.535120148,0,0,0,0,0,0,0,0,0
Jeurys Familia,0,0,0,0,0.216545012,0,0.055961071,0,0,0,0,0,0.571776156,0.155717762
Jake Faria,0,0.043719639,0,0,0.539208883,0,0.170714781,0,0,0,0.002081888,0,0,0.244274809
Buck Farmer,0.164444444,0.006666667,0,0,0.488888889,0,0,0.131111111,0,0,0,0,0,0.208888889
Danny Farquhar,0.335214447,0.106094808,0,0,0.553047404,0,0,0.005643341,0,0,0,0,0,0
Luke Farrell,0.093495935,0.081300813,0,0,0.56504065,0,0,0.008130081,0,0,0,0,0,0.25203252
Erick Fedde,0,0.100671141,0,0.077181208,0.053691275,0,0.214765101,0,0,0,0,0,0.496644295,0.05704698
Scott Feldman,0.0409234,0.264952781,0,0.339979014,0.060860441,0,0,0,0,0,0.000524659,0,0.292759706,0
Michael Feliz,0.011123471,0,0,0,0.717463849,0,0,0,0,0,0,0,0,0.271412681
Neftali Feliz,0.160566706,0,0,0,0.628099174,0,0,0,0,0,0,0,0,0.21133412
Josh Fields,0.024175824,0,0,0,0.791208791,0,0,0,0.184615385,0,0,0,0,0
Casey Fien,0,0.153846154,0,0,0.322115385,0,0,0.076923077,0,0,0,0,0,0.447115385
Mike Fiers,0.180988593,0.193155894,0,0.039163498,0.327376426,0,0,0.203802281,0,0,0,0,0,0.055513308
Brandon Finnegan,0.186721992,0,0,0,0.261410788,0,0,0,0,0,0,0,0.423236515,0.128630705
Doug Fister,0.070745698,0.169534736,0,0.164435946,0.007010835,0,0,0,0,0,0,0,0.588272785,0
Jack Flaherty,0.058988764,0,0,0,0.29494382,0,0,0.258426966,0.137640449,0,0,0,0,0.25
Chris Flexen,0.084522503,0.087815587,0,0,0.194291987,0,0,0.424807903,0,0,0,0,0,0.20856202
Mike Foltynewicz,0.05599711,0.11632948,0,0,0.387644509,0,0,0.215317919,0,0,0,0,0,0.224710983
Kyle Freeland,0.076380729,0.038386212,0,0,0.262044653,0,0,0.366235801,0,0,0,0,0,0.256952605
Sam Freeman,0,0.221987315,0,0,0.395348837,0,0.204016913,0.178646934,0,0,0,0,0,0
Max Fried,0.097156398,0.27014218,0,0.049763033,0.571090047,0,0,0.011848341,0,0,0,0,0,0
Carson Fulmer,0.105386417,0.12412178,0,0.241217799,0.494145199,0,0,0.035128806,0,0,0,0,0,0
Michael Fulmer,0.188839466,0,0,0,0.267286696,0,0,0.329154873,0.004852406,0,0,0,0,0.209866559
Yovani Gallardo,0.099868594,0.1760841,0,0,0.316250548,0,0,0.192290845,0,0,0,0,0,0.215505913
Giovanny Gallegos,0.049586777,0,0,0,0.636363636,0,0,0,0,0,0,0,0,0.314049587
John Gant,0.196551724,0.093103448,0,0,0.320689655,0,0,0.331034483,0,0,0,0,0,0.05862069
Jaime Garcia,0.18727199,0.069314957,0,0.047020673,0.278070531,0,0,0.280502635,0,0,0,0,0,0.137819214
Jarlin Garcia,0.186098655,0,0,0,0.493273543,0,0,0.004484305,0,0,0,0,0,0.316143498
Luis Garcia,0,0,0,0,0.320281124,0,0.13253012,0.310240964,0,0,0,0,0,0.236947791
Amir Garrett,0.147368421,0,0,0,0.611336032,0,0,0.009716599,0,0,0,0,0,0.231578947
Ryan Garton,0.019830028,0.116147309,0,0.322946176,0.541076487,0,0,0,0,0,0,0,0,0
Matt Garza,0.057591623,0.104712042,0,0,0.435602094,0,0,0.170157068,0,0,0,0,0,0.231937173
Kevin Gausman,0,0,0,0,0.650537634,0,0.213560335,0.000298686,0,0,0,0,0,0.135603345
Sam Gaviglio,0.09760274,0.132705479,0,0,0.017123288,0,0,0,0,0,0.000856164,0,0.547945205,0.203767123
Cory Gearrin,0.107677903,0,0,0,0.001872659,0,0,0,0,0,0,0,0.546816479,0.343632959
Dillon Gee,0.152309613,0,0,0.218476904,0.293383271,0,0,0.174781523,0.161048689,0,0,0,0,0
