Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP
Grant Dayton,29,Los Angeles,FF,418,88.79261084,0.04784689,29,0,1,1,23.2
Chase De Jong,23,Seattle,FF,458,86.2558952,0.028384279,7,4,,3,28.1
Jorge De La Rosa,36,Arizona,FF,896,88.5614094,0.052455357,65,0,3,1,51.1
Jacob deGrom,29,New York,FF,3168,91.53044578,0.075441919,31,31,15,10,201.1
Randall Delgado,27,Arizona,FF,1050,90.55982824,0.057142857,26,5,1,2,62.2
Matt Dermody,26,Toronto,SL,341,89.17507331,0.04398827,23,0,2,,22.1
Odrisamer Despaigne,30,Miami,FF,968,88.22536232,0.032024793,18,8,2,3,58.1
Chris Devenski,26,Houston,FF,1413,87.47563739,0.076433121,62,0,8,5,80.2
Dayan Diaz,28,Houston,FF,268,91.27977528,0.074626866,10,1,1,1,13
Edwin Diaz,23,Seattle,FF,1130,94.44951198,0.078761062,66,0,4,6,66
Jumbo Diaz,33,Tampa Bay,SL,541,91.7187384,0.051756007,31,0,1,4,30
Miguel Diaz,22,San Diego,FT,774,91.90452781,0.042635659,31,3,1,1,41.2
R.A. Dickey,42,Atlanta,KN,2924,78.15081796,0.046511628,31,31,10,10,190
Jake Diekman,30,Texas,SI,188,90.78138298,0.069148936,11,0,,,10.2
Sean Doolittle,30,"Oakland,Washington",FF,823,93.36682868,0.080194411,53,0,2,,51.1
Oliver Drake,30,"Milwaukee,Baltimore",FF,1049,87.69847182,0.059103908,64,0,3,5,56
Brian Duensing,34,Chicago,FF,1111,85.85076784,0.058505851,68,0,1,1,62.1
Tyler Duffey,26,Minnesota,FT,1126,87.98035556,0.059502664,56,0,2,3,71
Danny Duffy,28,Kansas City,SL,2277,87.7762533,0.057092666,24,24,9,10,146.1
Zach Duke,34,St. Louis,SI,276,83.35217391,0.043478261,27,0,1,1,18.1
Ryan Dull,27,Oakland,FF,733,86.84541724,0.061391542,49,0,2,2,42
Mike Dunn,32,Colorado,FF,878,88.55034169,0.064920273,68,0,5,1,50.1
Sam Dyson,29,"Texas,San Francisco",FT,927,92.90658037,0.036677454,55,0,4,10,54.2
Josh Edgin,30,New York,FF,614,86.73556281,0.043973941,46,0,,1,37
Carl Edwards Jr.,25,Chicago,FF,1237,91.04481361,0.082457559,73,0,5,4,66.1
Zach Eflin,23,Philadelphia,FT,1020,89.45722714,0.034313725,11,11,1,5,64.1
Jerad Eickhoff,26,Philadelphia,FF,2133,84.72045988,0.055321144,24,24,4,8,128
Brian Ellington,26,Miami,FF,930,95.79031216,0.051612903,42,0,1,1,44.2
Paolo Espino,30,"Milwaukee,Texas",FF,438,83.41547344,0.0456621,12,2,,,24
Carlos Estevez,24,Colorado,FF,583,94.76740995,0.054888508,35,0,5,,32.1
Marco Estrada,33,Toronto,FF,3246,84.73111522,0.054220579,33,33,10,9,186
Jeurys Familia,27,New York,SI,411,94.33138686,0.060827251,26,0,2,2,24.2
Jake Faria,23,Tampa Bay,FF,1445,87.15839112,0.058131488,16,14,5,4,86.2
Buck Farmer,26,Detroit,FF,900,88.10666667,0.054444444,11,11,5,5,48
Danny Farquhar,30,"Chicago,Tampa Bay",FF,889,89.04094488,0.050618673,52,0,4,2,49.1
Luke Farrell,26,"Cincinnati,Kansas City",FF,246,87.20203252,0.036585366,10,1,,,13
Erick Fedde,24,Washington,SI,298,89.25,0.05033557,3,3,,1,15.1
Scott Feldman,34,Cincinnati,FC,1909,84.99035134,0.048716606,21,21,7,7,111.1
Michael Feliz,24,Houston,FF,899,93.0298109,0.077864294,46,0,4,2,48
Neftali Feliz,29,"Milwaukee,Kansas City",FF,847,92.49268005,0.043683589,49,0,2,5,46
Josh Fields,31,Los Angeles,FF,911,92.16937431,0.066959385,57,0,5,,57
Casey Fien,33,"Seattle,Philadelphia",SL,208,89.39711538,0.048076923,10,0,,1,12
Mike Fiers,32,Houston,FF,2630,84.7064283,0.055513308,29,28,8,10,153.1
Brandon Finnegan,24,Cincinnati,SI,241,90.19917012,0.066390041,4,4,1,1,13
Doug Fister,33,Boston,SI,1569,85.73919694,0.053537285,18,15,5,9,90.1
