Years_Played,H,BB,HR,AVE,OBP,Slug_Percent,OPS,RBI,R,SB,2B,3B,AB,SO,DPf,Af,Ef,YSLS,G_all,debut_age,weight,height
1,1,0,0,0.25,0.25,0.25,0.5,0.0,0,0.0,0,0,4,0.0,0.0,3.0,0.0,81.0,4,23.0,150.0,67.0
3,33,21,3,0.2129032258064516,0.3050847457627119,0.3290322580645161,0.634117003827228,15.0,19,2.0,7,1,155,28.0,0.0,0.0,1.0,40.0,89,24.0,180.0,71.0
2,3,0,0,0.17647058823529413,0.2631578947368421,0.29411764705882354,0.5572755417956656,2.0,4,0.0,0,1,17,1.0,1.0,7.0,0.0,90.0,5,21.0,170.0,73.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,6,1.0,0.0,2.0,0.0,47.0,28,24.0,205.0,75.0
7,100,41,5,0.18867924528301888,0.2453151618398637,0.25849056603773585,0.5038057278775996,43.0,40,4.0,16,3,530,98.0,52.0,385.0,38.0,42.0,230,23.0,175.0,70.0
7,1,0,0,0.0625,0.05263157894736842,0.0625,0.11513157894736842,0.0,2,0.0,0,0,16,9.0,5.0,45.0,2.0,11.0,151,24.0,205.0,76.0
1,13,3,1,0.2280701754385965,0.25806451612903225,0.2982456140350877,0.55631013016412,8.0,3,0.0,1,0,57,21.0,6.0,10.0,0.0,41.0,30,26.0,185.0,73.0
1,11,2,0,0.23404255319148934,0.26,0.2765957446808511,0.5365957446808511,2.0,3,0.0,2,0,47,3.0,1.0,23.0,7.0,94.0,17,23.0,170.0,71.0
3,9,9,0,0.15254237288135594,0.2608695652173913,0.15254237288135594,0.4134119380987472,5.0,5,0.0,0,0,59,18.0,2.0,6.0,1.0,61.0,45,23.0,190.0,70.0
3,16,6,2,0.2077922077922078,0.2823529411764706,0.3116883116883117,0.5940412528647823,5.0,12,1.0,2,0,77,25.0,0.0,12.0,2.0,14.0,42,30.0,190.0,71.0
7,57,12,1,0.20727272727272728,0.224025974025974,0.2690909090909091,0.4931168831168831,15.0,27,0.0,10,2,275,67.0,11.0,157.0,9.0,65.0,190,26.0,190.0,72.0
5,13,2,0,0.2,0.2054794520547945,0.26153846153846155,0.4670179135932561,7.0,3,0.0,2,1,65,10.0,7.0,44.0,3.0,72.0,57,25.0,170.0,70.0
5,189,57,10,0.245136186770428,0.2939787485242031,0.32425421530479903,0.6182329638290021,79.0,65,3.0,29,1,771,98.0,39.0,284.0,24.0,36.0,272,22.0,195.0,75.0
1,4,0,0,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.3703703703703704,0.0,5,0.0,0,1,27,13.0,4.0,29.0,0.0,97.0,17,22.0,160.0,70.0
3,12,4,1,0.13953488372093026,0.1650485436893204,0.19767441860465115,0.3627229622939716,10.0,4,0.0,2,0,86,12.0,20.0,62.0,2.0,53.0,41,29.0,185.0,73.0
11,24,5,0,0.13559322033898305,0.14871794871794872,0.1638418079096045,0.3125597566275532,11.0,9,0.0,5,0,177,90.0,4.0,117.0,12.0,27.0,277,23.0,160.0,74.0
3,1,1,0,0.037037037037037035,0.06896551724137931,0.037037037037037035,0.10600255427841634,0.0,1,0.0,0,0,27,20.0,1.0,25.0,0.0,52.0,40,24.0,210.0,79.0
10,627,299,40,0.2547744819179196,0.3379828326180257,0.366111336854937,0.7040941694729628,286.0,322,15.0,112,21,2461,251.0,13.0,41.0,19.0,57.0,822,23.0,175.0,70.0
6,403,154,5,0.2832044975404076,0.3473164713140037,0.3626141953619115,0.7099306666759152,158.0,192,27.0,66,16,1423,103.0,81.0,87.0,55.0,78.0,470,24.0,186.0,73.0
6,195,86,5,0.2288732394366197,0.29831932773109243,0.2992957746478873,0.5976151023789797,55.0,109,7.0,27,9,852,82.0,9.0,25.0,9.0,70.0,364,21.0,165.0,69.0
1,4,4,0,0.16,0.26666666666666666,0.24,0.5066666666666666,3.0,9,3.0,2,0,25,5.0,0.0,1.0,0.0,94.0,28,25.0,170.0,70.0
9,79,57,12,0.21467391304347827,0.3225806451612903,0.3423913043478261,0.6649719495091164,53.0,43,1.0,11,0,368,73.0,3.0,50.0,20.0,36.0,208,23.0,185.0,71.0
3,17,10,0,0.2023809523809524,0.28,0.21428571428571427,0.4942857142857143,4.0,9,0.0,1,0,84,15.0,15.0,53.0,3.0,25.0,54,28.0,157.0,69.0
6,244,58,17,0.2350674373795761,0.2719928186714542,0.336223506743738,0.6082163254151922,104.0,85,8.0,40,7,1038,114.0,150.0,667.0,30.0,38.0,404,22.0,165.0,70.0
7,219,60,13,0.23150105708245244,0.2751937984496124,0.32346723044397463,0.5986610288935871,110.0,87,6.0,38,5,946,122.0,29.0,180.0,17.0,20.0,389,26.0,185.0,72.0
1,3,0,0,0.2307692307692308,0.2307692307692308,0.4615384615384616,0.6923076923076923,0.0,0,0.0,3,0,13,5.0,0.0,0.0,1.0,61.0,7,24.0,205.0,72.0
9,3,3,0,0.09375,0.15789473684210525,0.125,0.28289473684210525,1.0,1,0.0,1,0,32,18.0,7.0,79.0,3.0,32.0,340,25.0,200.0,75.0
4,8,1,0,0.20512820512820512,0.21428571428571427,0.20512820512820512,0.41941391941391937,1.0,3,0.0,0,0,39,5.0,1.0,30.0,3.0,73.0,33,23.0,185.0,74.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,2.0,9.0,0.0,11.0,82,25.0,200.0,74.0
12,38,31,0,0.08482142857142858,0.137524557956778,0.08928571428571429,0.2268102722424923,12.0,15,0.0,2,0,448,219.0,21.0,274.0,18.0,51.0,368,25.0,190.0,76.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,10,4.0,0.0,2.0,0.0,28.0,9,26.0,177.0,75.0
2,3,1,0,0.13636363636363635,0.16666666666666666,0.13636363636363635,0.303030303030303,1.0,2,0.0,0,0,22,10.0,0.0,7.0,1.0,57.0,34,29.0,220.0,76.0
2,20,2,0,0.19607843137254904,0.20560747663551399,0.22549019607843135,0.4310976727139454,12.0,6,0.0,3,0,102,7.0,1.0,19.0,2.0,72.0,38,26.0,185.0,72.0
2,20,2,0,0.2597402597402597,0.2682926829268293,0.2987012987012987,0.5669939816281279,8.0,7,0.0,3,0,77,6.0,5.0,55.0,5.0,72.0,35,29.0,175.0,71.0
